rank,row,col,utility,suitability,basis_match
4045,63,156,0.47278568,0.18890107,1
4046,229,34,0.47278568,0.18890107,1
4047,169,247,0.47278568,0.18890108,1
4048,84,246,0.47278568,0.18890108,1
4049,59,157,0.47278568,0.18890107,1
4050,235,29,0.47278568,0.18890107,1
4051,61,164,0.4726948,0.18876128,1
4052,235,27,0.4726948,0.18876128,1
4053,196,129,0.4726342,0.18866801,1
4054,184,61,0.47240645,0.18831763,1
4055,88,247,0.47223905,0.18806008,1
4056,11,64,0.47223905,0.18806008,1
4057,12,64,0.47223905,0.18806008,1
4058,32,27,0.4720255,0.18773158,1
4059,247,247,0.47194913,0.18761407,1
4060,229,30,0.47193384,0.18759057,1
4061,145,37,0.47178084,0.18735518,1
4062,12,63,0.47178084,0.18735518,1
4063,14,194,0.47178084,0.18735516,1
4064,60,164,0.47178084,0.18735516,1
4065,62,9,0.47168666,0.18721028,1
4066,32,126,0.4716429,0.18714295,1
4067,10,64,0.47155082,0.18700129,1
4068,244,247,0.471474,0.1868831,1
4069,144,36,0.47141254,0.18678851,1
4070,61,34,0.47141254,0.18678851,1
4071,69,30,0.47141254,0.18678851,1
4072,146,36,0.47141254,0.18678851,1
4073,148,33,0.47141254,0.18678851,1
4074,113,123,0.4714125,0.1867885,1
4075,60,159,0.4714125,0.1867885,1
4076,59,163,0.4714125,0.1867885,1
4077,68,163,0.4714125,0.1867885,1
4078,67,162,0.4714125,0.1867885,1
4079,63,157,0.4714125,0.1867885,1
4080,94,160,0.4714125,0.1867885,1
4081,184,62,0.4712894,0.18659909,1
4082,63,155,0.47108895,0.18629068,1
4083,117,127,0.4709035,0.18600537,1
4084,65,30,0.47077963,0.18581481,1
4085,240,63,0.47077963,0.18581481,1
4086,240,190,0.47077963,0.18581481,1
4087,69,29,0.4707021,0.18569557,1
4088,94,33,0.4704847,0.1853611,1
4089,240,158,0.4703914,0.18521751,1
4090,33,158,0.4698605,0.18440075,1
4091,241,159,0.46984482,0.18437666,1
4092,241,158,0.4697351,0.18420783,1
4093,70,30,0.4697351,0.18420783,1
4094,70,31,0.4697351,0.18420783,1
4095,241,160,0.46954662,0.1839179,1
4096,33,159,0.46934196,0.18360305,1
