split_index,detector,train_size,test_size,test_auc,test_average_precision,test_accuracy,test_f1,test_precision,test_recall,tn,fp,fn,tp
49,logistic_regression,28,14,0.7142857142857143,0.7852564102564101,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
49,random_forest,28,14,0.8061224489795917,0.8520408163265305,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
50,logistic_regression,28,14,0.7755102040816326,0.869130869130869,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
50,random_forest,28,14,0.8367346938775511,0.8833333333333333,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
51,logistic_regression,28,14,0.7959183673469388,0.7766233766233765,0.6428571428571429,0.7058823529411765,0.6,0.8571428571428571,3,4,1,6
51,random_forest,28,14,0.9183673469387754,0.9480519480519478,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,6,1,1,6
52,logistic_regression,28,14,0.7959183673469388,0.8255625327053897,0.6428571428571429,0.5454545454545454,0.75,0.42857142857142855,6,1,4,3
52,random_forest,28,14,0.8571428571428571,0.8857142857142857,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
53,logistic_regression,28,14,0.836734693877551,0.889848246991104,0.7142857142857143,0.6,1.0,0.42857142857142855,7,0,4,3
53,random_forest,28,14,0.9591836734693877,0.9682539682539683,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
54,logistic_regression,28,14,0.7755102040816326,0.8456305599162741,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
54,random_forest,28,14,0.9081632653061223,0.9404761904761902,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
55,logistic_regression,28,14,0.6938775510204082,0.7848595848595847,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
55,random_forest,28,14,0.8163265306122449,0.8523809523809522,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
56,logistic_regression,28,14,0.8163265306122449,0.8864468864468864,0.7857142857142857,0.7272727272727273,1.0,0.5714285714285714,7,0,3,4
56,random_forest,28,14,0.7959183673469388,0.8755411255411254,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
57,logistic_regression,28,14,0.8571428571428571,0.9047619047619047,0.5714285714285714,0.7,0.5384615384615384,1.0,1,6,0,7
57,random_forest,28,14,0.9081632653061225,0.8736394557823128,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
58,logistic_regression,28,14,0.7142857142857143,0.7527734170591314,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
58,random_forest,28,14,0.846938775510204,0.8395485466914037,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
59,logistic_regression,28,14,0.8163265306122448,0.8319727891156461,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
59,random_forest,28,14,0.979591836734694,0.982142857142857,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
60,logistic_regression,28,14,0.7346938775510204,0.7742019884877027,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
60,random_forest,28,14,0.826530612244898,0.8833333333333333,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
61,logistic_regression,28,14,0.7142857142857143,0.7527734170591314,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
61,random_forest,28,14,0.8979591836734695,0.8784013605442176,0.7857142857142857,0.8235294117647058,0.7,1.0,4,3,0,7
62,logistic_regression,28,14,0.7959183673469388,0.8255625327053897,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
62,random_forest,28,14,0.9591836734693877,0.9682539682539681,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
63,logistic_regression,28,14,0.7142857142857143,0.7852564102564101,0.7142857142857143,0.75,0.6666666666666666,0.8571428571428571,4,3,1,6
63,random_forest,28,14,0.8673469387755102,0.8885281385281385,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
64,logistic_regression,28,14,0.7142857142857143,0.7622972265829409,0.6428571428571429,0.6153846153846154,0.6666666666666666,0.5714285714285714,5,2,3,4
64,random_forest,28,14,0.9387755102040816,0.9571428571428571,0.9285714285714286,0.9230769230769231,1.0,0.8571428571428571,7,0,1,6
65,logistic_regression,28,14,0.7755102040816326,0.869130869130869,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
65,random_forest,28,14,0.9387755102040816,0.947845804988662,0.8571428571428571,0.8333333333333334,1.0,0.7142857142857143,7,0,2,5
66,logistic_regression,28,14,0.7346938775510204,0.7980115122972264,0.6428571428571429,0.6666666666666666,0.625,0.7142857142857143,4,3,2,5
66,random_forest,28,14,1.0,0.9999999999999998,0.8571428571428571,0.875,0.7777777777777778,1.0,5,2,0,7
67,logistic_regression,28,14,0.7959183673469388,0.7687074829931972,0.7857142857142857,0.8,0.75,0.8571428571428571,5,2,1,6
67,random_forest,28,14,0.8061224489795918,0.8166666666666667,0.7857142857142857,0.7692307692307693,0.8333333333333334,0.7142857142857143,6,1,2,5
68,logistic_regression,28,14,0.6938775510204082,0.7440836940836941,0.6428571428571429,0.7058823529411765,0.6,0.8571428571428571,3,4,1,6
68,random_forest,28,14,0.9591836734693878,0.9617346938775508,0.6428571428571429,0.7368421052631579,0.5833333333333334,1.0,2,5,0,7
69,logistic_regression,28,14,0.6938775510204082,0.7527734170591314,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,5
69,random_forest,28,14,0.8571428571428571,0.8857142857142857,0.7142857142857143,0.6666666666666666,0.8,0.5714285714285714,6,1,3,4
